Article,Point,Content
Art. 7,1,"Posła obowiązuje obecność i czynny udział w posiedzeniach Sejmu oraz organów Sejmu, do których został wybrany. Na posiedzeniach Sejmu posłowie zajmują stałe, wyznaczone miejsca na sali posiedzeń."
Art. 7,2,"Poseł może być członkiem nie więcej niż dwóch komisji stałych. Prezydium Sejmu po zasięgnięciu opinii Konwentu Seniorów może wyrazić zgodę na to, aby poseł był członkiem trzech komisji stałych. 2)"
Art. 7,3,"Poseł pełniący funkcję członka Rady Ministrów lub sekretarza stanu nie może być członkiem komisji, z wyjątkiem komisji, o której mowa w art. 86b ust. 1. Jego członkostwo w komisji wygasa z dniem powołania w skład Rady Ministrów lub powierzenia funkcji sekretarza stanu."
Art. 7,4,Do podstawowych obowiązków posła należy w szczególności:
Art. 7,1,"udział w głosowaniach podczas posiedzeń Sejmu i w komisjach sejmowych,"
Art. 7,2,stosowanie się do wynikających z Regulaminu Sejmu poleceń Marszałka Sejmu.
Art. 7,5,Obecność posła na posiedzeniu Sejmu jest potwierdzana na liście obecności wykładanej każdego dnia posiedzenia do czasu zakończenia obrad oraz poprzez potwierdzony wydrukami udział w głosowaniach.
Art. 7,6,Poseł potwierdza swoją obecność na posiedzeniu komisji lub podkomisji podpisem na liście obecności.
Art. 7,7,"W razie niemożności wzięcia udziału w posiedzeniu Sejmu lub komisji, poseł w miarę możliwości zawiadamia przed terminem posiedzenia odpowiednio Marszałka Sejmu lub przewodniczącego komisji, a następnie jest obowiązany w ciągu 7 dni usprawiedliwić w formie pisemnej swoją nieobecność odpowiednio przed Marszałkiem Sejmu lub przewodniczącym komisji. Tryb składania usprawiedliwień określi Prezydium Sejmu."
Art. 7,8,Za przyczyny usprawiedliwiające niemożność wzięcia przez posła udziału w posiedzeniu Sejmu lub komisji bądź w głosowaniu uważa się:
Art. 7,1,"chorobę albo konieczność opieki nad chorym,"
Art. 7,2,"wyjazdy zagraniczne lub krajowe z polecenia Sejmu, Marszałka Sejmu lub komisji, akceptowane przez Prezydium Sejmu,"
Art. 7,3,"zbieg posiedzeń komisji lub podkomisji, do których poseł należy, jeżeli brał udział w jednym z tych posiedzeń, a w razie zbiegu posiedzenia Sejmu oraz komisji lub podkomisji, z zastrzeżeniem art. 152 ust. 4 - wykonywanie funkcji posła sprawozdawcy lub zabieranie głosu na posiedzeniu Sejmu,"
Art. 7,4,"urlop udzielony posłowi przez Marszałka Sejmu, z zastrzeżeniem ust. 10,"
Art. 7,5,"inne ważne, niemożliwe do przewidzenia lub nieuchronne przeszkody."
Art. 7,9,Informacje o nieusprawiedliwionych nieobecnościach posłów na posiedzeniu Sejmu lub komisji sejmowej są jawne.
Art. 7,10,"Poseł może z ważnych przyczyn zwrócić się do Marszałka Sejmu o udzielenie urlopu od wykonywania obowiązków poselskich; Marszałek Sejmu udziela urlopu w porozumieniu z prezydium klubu lub koła, którego poseł jest członkiem. Za czas trwania urlopu dłuższego niż 14 dni nie wypłaca się diety poselskiej."
Art. 7,11,"Dostęp posła do informacji niejawnych określają przepisy o ochronie informacji niejawnych. Poseł jest obowiązany do złożenia pisemnego zobowiązania o zachowaniu w tajemnicy informacji niejawnych, z którymi zapozna się w trakcie wykonywania mandatu. Zachowanie tajemnicy obowiązuje posła zarówno w czasie trwania mandatu, jak i po jego wygaśnięciu."
Art. 8,1,Posłowie mogą tworzyć w Sejmie kluby poselskie lub koła poselskie oparte na zasadzie politycznej.
Art. 8,2,Klub tworzy co najmniej 15 posłów.
Art. 8,3,Koło tworzy co najmniej 3 posłów.
Art. 8,4,Poseł może należeć tylko do jednego klubu poselskiego lub koła poselskiego.
Art. 8,5,Kluby poselskie lub koła poselskie mogą na zasadzie wzajemnych porozumień ustanawiać wspólną reprezentację w Konwencie Seniorów.
Art. 8,6,Posłowie mogą tworzyć w Sejmie zespoły zorganizowane na innych zasadach niż określone w ust. 1.
Art. 8,7,"Władze klubów poselskich, kół poselskich, zespołów oraz porozumień podają do wiadomości Marszałka Sejmu ich składy osobowe oraz regulaminy (statuty) wewnętrzne."
Art. 9,,Organami Sejmu są:
Art. 9,1,"Marszałek Sejmu,"
Art. 9,2,"Prezydium Sejmu,"
Art. 9,3,"Konwent Seniorów,"
Art. 9,4,komisje sejmowe.
Art. 10,1,Marszałek Sejmu:
Art. 10,1,"3) stoi na straży praw, godności i powagi Sejmu,"
Art. 10,2,"reprezentuje Sejm,"
Art. 10,3,"zwołuje posiedzenia Sejmu,"
Art. 10,4,"przewodniczy obradom Sejmu,"
Art. 10,5,"czuwa nad tokiem i terminowością prac Sejmu i jego organów,"
Art. 10,6,"kieruje pracami Prezydium Sejmu i przewodniczy jego obradom,"
Art. 10,7,"zwołuje Konwent Seniorów i przewodniczy jego obradom,"
Art. 10,8,"nadaje bieg inicjatywom ustawodawczym i uchwałodawczym oraz wnioskom organów państwa skierowanym do Sejmu, po zasięgnięciu opinii Prezydium Sejmu,"
Art. 10,8," nadaje bieg dokumentom przedkładanym w sprawach związanych z członkostwem Rzeczypospolitej Polskiej w Unii Europejskiej,"
Art. 10,8," 4) nadaje bieg petycjom złożonym do Sejmu,"
Art. 10,9,"prowadzi sprawy z zakresu stosunków z Senatem,"
Art. 10,10,"prowadzi sprawy z zakresu stosunków Sejmu z parlamentami innych krajów,"
Art. 10,10," prowadzi sprawy z zakresu stosunków Sejmu z instytucjami oraz innymi organami Unii Europejskiej,"
Art. 10,11,"przedstawia okresowe oceny wykonania przez organy administracji państwowej obowiązków wobec Sejmu i jego organów oraz posłów; wnioski w tym zakresie przekazuje Prezesowi Rady Ministrów, prezydiom komisji sejmowych oraz posłom,"
Art. 10,12,"udziela posłom niezbędnej pomocy w ich pracy, w tym czuwa nad wykonaniem wobec posłów przez organy administracji rządowej i samorządu terytorialnego oraz inne jednostki organizacyjne obowiązków określonych w ustawie o wykonywaniu mandatu posła i senatora,"
Art. 10,13,"sprawuje pieczę nad spokojem i porządkiem na całym obszarze należącym do Sejmu oraz wydaje stosowne zarządzenia porządkowe, w tym o użyciu w razie konieczności Straży Marszałkowskiej,"
Art. 10,14,"nadaje, w drodze zarządzenia, statut Kancelarii Sejmu,"
Art. 10,15,"1) ustala projekt budżetu Kancelarii Sejmu, po zasięgnięciu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych i Prezydium Sejmu, oraz nadzoruje jego wykonanie,"
Art. 10,16,"1) powołuje i odwołuje Szefa Kancelarii Sejmu, po zasięgnięciu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych,"
Art. 10,17,"powołuje i odwołuje zastępców Szefa Kancelarii Sejmu, po zasięgnięciu opinii Szefa Kancelarii Sejmu,"
Art. 10,18,podejmuje inne czynności wynikające z Regulaminu Sejmu.
Art. 10,2,Marszałek Sejmu wykonuje także inne zadania przewidziane w Konstytucji i w ustawach.
Art. 10,3,Marszałka Sejmu w zakresie przez niego określonym zastępują wicemarszałkowie Sejmu.
Art. 10a,1,Sejm odwołuje Marszałka Sejmu na wniosek złożony przez co najmniej 46 posłów i imiennie wskazujący kandydata na Marszałka Sejmu.
Art. 10a,2,"Sejm odwołuje i wybiera Marszałka Sejmu bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów, w jednym głosowaniu."
Art. 10a,3,"Jeżeli złożono więcej niż jeden wniosek, o którym mowa w ust. 1, są one rozpatrywane łącznie, jednak poddanie ich pod głosowanie następuje oddzielnie według kolejności złożenia. W przypadku przyjęcia jednego z wniosków pozostałe wnioski nie podlegają głosowaniu."
Art. 10a,4,"Rozpatrzenie wniosku, o którym mowa w ust. 1, i poddanie go pod głosowanie następuje na najbliższym posiedzeniu Sejmu przypadającym po upływie 7 dni od dnia jego złożenia, nie później jednak niż w terminie 45 dni od dnia złożenia wniosku."
Art. 10a,5,"Sejm odwołuje wicemarszałka Sejmu, na wniosek złożony przez co najmniej 15 posłów, bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów."
Art. 10b,,W przypadku:
Art. 10b,1,"śmierci Marszałka Sejmu,"
Art. 10b,2,rezygnacji z funkcji Marszałka Sejmu
Art. 10b,,- obowiązki Marszałka Sejmu wynikające z regulaminu Sejmu sprawuje najstarszy wiekiem wicemarszałek Sejmu do wyboru nowego Marszałka Sejmu.
Art. 11,,Prezydium Sejmu tworzą Marszałek i wicemarszałkowie.
Art. 12,,Prezydium Sejmu:
Art. 12,1,"ustala plan prac Sejmu, po zasięgnięciu opinii Konwentu Seniorów,"
Art. 12,2,"ustala tak zwane tygodnie posiedzeń z wyprzedzeniem co najmniej 3-miesięcznym,"
Art. 12,3,"1) dokonuje wykładni Regulaminu Sejmu, po zasięgnięciu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych,"
Art. 12,4,"opiniuje sprawy wniesione przez Marszałka Sejmu,"
Art. 12,5,"organizuje współpracę między komisjami sejmowymi i koordynuje ich działania,"
Art. 12,6,"ustala zasady organizowania doradztwa naukowego na rzecz Sejmu i jego organów, powoływania doradców sejmowych oraz korzystania z opinii i ekspertyz,"
Art. 12,6," 5) określa przypadki, w których dokument w postaci elektronicznej spełnia wymóg formy pisemnej wynikający z przepisów Regulaminu Sejmu,"
Art. 12,7,podejmuje inne czynności wynikające z Regulaminu Sejmu.
Art. 13,1,Porządek dzienny i termin posiedzenia Prezydium Sejmu ustala Marszałek Sejmu.
Art. 13,2,W posiedzeniach Prezydium Sejmu bierze udział z głosem doradczym Szef Kancelarii Sejmu. Marszałek Sejmu może zaprosić na posiedzenie Prezydium Sejmu również inne osoby.
Art. 13,3,"Z posiedzeń Prezydium Sejmu sporządza się protokół, który podpisuje Marszałek Sejmu. Protokół stanowi jedyne urzędowe stwierdzenie przebiegu posiedzenia Prezydium."
Art. 13,4,Prezydium Sejmu podejmuje uchwały większością głosów. W wypadku równej liczby głosów decyduje głos Marszałka Sejmu.
Art. 14,,Konwent Seniorów jest organem zapewniającym współdziałanie klubów w sprawach związanych z działalnością i tokiem prac Sejmu.
Art. 15,1,"W skład Konwentu Seniorów wchodzą: Marszałek, wicemarszałkowie, przewodniczący lub wiceprzewodniczący klubów oraz przedstawiciele porozumień, o których mowa w art. 8 ust. 5, a także klubów parlamentarnych, jeśli reprezentują co najmniej 15 posłów oraz kół parlamentarnych reprezentujących w dniu rozpoczęcia kadencji Sejmu osobną listę wyborczą."
Art. 15,2,W posiedzeniach Konwentu Seniorów bierze udział z głosem doradczym Szef Kancelarii Sejmu.
Art. 15,3,Marszałek Sejmu z własnej inicjatywy bądź na wniosek członków Konwentu Seniorów może zaprosić na posiedzenie Konwentu inne osoby.
Art. 16,1,Konwent Seniorów opiniuje w szczególności:
Art. 16,1,"projekty planów prac Sejmu,"
Art. 16,2,"projekty porządku dziennego poszczególnych posiedzeń Sejmu i ich terminy,"
Art. 16,3,"wnioski co do trybu dyskusji nad poszczególnymi punktami porządku dziennego posiedzenia Sejmu,"
Art. 16,4,"wnioski co do wyboru przez Sejm jego organów,"
Art. 16,5,"zadania i przebieg pracy Kancelarii Sejmu,"
Art. 16,6,inne sprawy przekazane przez Marszałka lub Prezydium Sejmu.
Art. 16,2,"Konwent Seniorów zwołuje Marszałek Sejmu z własnej inicjatywy, z inicjatywy Prezydium Sejmu, na wniosek klubu reprezentowanego w Konwencie Seniorów lub grupy co najmniej 15 posłów."
Art. 16,3,Z posiedzeń Konwentu Seniorów sporządza się zapis ustaleń.
Art. 17,1,Komisje sejmowe są organami powołanymi do:
Art. 17,1,"rozpatrywania i przygotowywania spraw stanowiących przedmiot prac Sejmu,"
Art. 17,2,"wyrażania opinii w sprawach przekazanych pod ich obrady przez Sejm, Marszałka Sejmu lub Prezydium Sejmu."
Art. 17,2,Komisje sejmowe są organami kontroli sejmowej w zakresie określonym Konstytucją i ustawami.
Art. 18,1,Ustanawia się następujące komisje stałe:
Art. 18,1,"6) Administracji i Spraw Wewnętrznych,"
Art. 18,1," 7) do Spraw Petycji,"
Art. 18,2,"do Spraw Służb Specjalnych,"
Art. 18,3,"do Spraw Kontroli Państwowej,"
Art. 18,3," do Spraw Unii Europejskiej,"
Art. 18,3," 8) do Spraw Energii i Skarbu Państwa,"
Art. 18,4,"Edukacji, Nauki i Młodzieży,"
Art. 18,5,"Etyki Poselskiej,"
Art. 18,6,"(uchylony),"
Art. 18,7,"Finansów Publicznych,"
Art. 18,8,"9) Gospodarki i Rozwoju,"
Art. 18,8," 10) Gospodarki Morskiej i Żeglugi Śródlądowej,"
Art. 18,9,"Infrastruktury,"
Art. 18,9," 11) Cyfryzacji, Innowacyjności i Nowoczesnych Technologii,"
Art. 18,10,"Kultury Fizycznej, Sportu i Turystyki,"
Art. 18,11,"Kultury i Środków Przekazu,"
Art. 18,12,"Łączności z Polakami za Granicą,"
Art. 18,13,"Mniejszości Narodowych i Etnicznych,"
Art. 18,14,"Obrony Narodowej,"
Art. 18,15,"Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa,"
Art. 18,16,"Odpowiedzialności Konstytucyjnej,"
Art. 18,16," 12) Polityki Senioralnej,"
Art. 18,17,"Polityki Społecznej i Rodziny,"
Art. 18,17," (uchylony),"
Art. 18,18,"1) Regulaminową, Spraw Poselskich i Immunitetowych,"
Art. 18,18," (uchylony),"
Art. 18,19,"Rolnictwa i Rozwoju Wsi,"
Art. 18,19," (uchylony),"
Art. 18,20,"Samorządu Terytorialnego i Polityki Regionalnej,"
Art. 18,21,"(uchylony) 13),"
Art. 18,21," (uchylony) 14),"
Art. 18,22,"Spraw Zagranicznych,"
Art. 18,23,"Sprawiedliwości i Praw Człowieka,"
Art. 18,24,"Ustawodawczą,"
Art. 18,25,Zdrowia.
Art. 18,2,"Przedmiotowy zakres działania komisji, o których mowa w ust. 1, określa załącznik do Regulaminu Sejmu."
Art. 18,3,"Podziału części budżetowych pomiędzy komisje sejmowe dokonuje Marszałek Sejmu, po zasięgnięciu opinii Prezydium Sejmu, kierując się przedmiotowym zakresem działania komisji określonym w załączniku, o którym mowa w ust. 2."
Art. 19,1,"Sejm może powoływać i odwoływać komisje nadzwyczajne; powołując takie komisje, Sejm określa cel, zasady i tryb ich działania."
Art. 19,2,(uchylony).
Art. 19a,,"Sejm może powołać komisję śledczą, o której mowa w art. 111 Konstytucji."
Art. 20,1,"Sejm, na wniosek Prezydium Sejmu po zasięgnięciu opinii Konwentu Seniorów, w drodze uchwały, wybiera skład osobowy poszczególnych komisji."
Art. 20,2,Pierwsze posiedzenie komisji zwołuje i prowadzi Marszałek Sejmu; na posiedzeniu tym komisja wybiera ze swego grona prezydium komisji w składzie: przewodniczący oraz zastępcy przewodniczącego.
Art. 20,3,Komisja powołuje i odwołuje członków prezydium w głosowaniu jawnym większością głosów.
Art. 20,4,Wniosek o odwołanie członka prezydium komisji może być rozpatrzony nie wcześniej niż 3 dnia i nie później niż 30 dnia od dnia jego złożenia.
Art. 20,5,Rezygnacja członka prezydium z funkcji następuje z dniem złożenia przez niego Marszałkowi Sejmu pisemnego oświadczenia w tej kwestii.
Art. 21,1,"Za naruszenie lub niedopełnienie obowiązków określonych w art. 33-35 ustawy o wykonywaniu mandatu posła i senatora Prezydium Sejmu, w drodze uchwały podjętej po rozpatrzeniu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych, może: 1)"
Art. 21,1,"zwrócić posłowi uwagę,"
Art. 21,2,"udzielić posłowi upomnienia,"
Art. 21,3,udzielić posłowi nagany.
Art. 21,2,"Od uchwały Prezydium Sejmu przysługuje posłowi, w terminie 14 dni od dnia jej doręczenia, odwołanie do Sejmu. Prezydium Sejmu wprowadza odwołanie do porządku dziennego najbliższego posiedzenia Sejmu, który je rozpatruje wysłuchując przedstawiciela Prezydium Sejmu; prawo do zabrania głosu przysługuje również posłowi, który wniósł odwołanie. Nad odwołaniem nie przeprowadza się dyskusji."
Art. 21,3,"Sejm po rozpatrzeniu odwołania może, w drodze uchwały, uchylić uchwałę Prezydium Sejmu lub utrzymać ją w mocy."
Art. 21,4,"W przypadku niewniesienia odwołania w terminie określonym w ust. 2, uchwałę, o której mowa w ust. 1, Prezydium Sejmu podaje do wiadomości Sejmu."
Art. 22,1,"Za niewykonywanie obowiązków poselskich Komisja Regulaminowa, Spraw Poselskich i Immunitetowych może, w drodze uchwały: 1)"
Art. 22,2,"Od uchwały Komisji przysługuje posłowi, w terminie 14 dni od dnia doręczenia, odwołanie do Prezydium Sejmu."
Art. 22,3,"Prezydium Sejmu może, w drodze uchwały:"
Art. 22,1,"uchylić uchwałę Komisji,"
Art. 22,2,utrzymać uchwałę Komisji w mocy.
Art. 22a 15),,"Marszałek Sejmu może stwierdzić, że poseł swoim zachowaniem na posiedzeniu organów Sejmu naruszył powagę Sejmu."
Art. 22b 15),,"Marszałek Sejmu może stwierdzić, że poseł na terenie pozostającym w zarządzie Kancelarii Sejmu w rażący sposób naruszył spokój lub porządek."
Art. 23,1,16) W przypadku:
Art. 23,1,"uniemożliwiania przez posła pracy Sejmu lub jego organów, w szczególności zaistnienia sytuacji, o której mowa w art. 175 ust. 4,"
Art. 23,2,"naruszenia przez posła na posiedzeniu Sejmu lub posiedzeniu organów Sejmu powagi Sejmu, w szczególności stwierdzonego przez Marszałka Sejmu na podstawie art. 22a lub art. 175 ust. 2a,"
Art. 23,3,"naruszenia przez posła na terenie pozostającym w zarządzie Kancelarii Sejmu w rażący sposób spokoju lub porządku, w szczególności stwierdzonego przez Marszałka Sejmu na podstawie art. 22b"
Art. 23,,"- Prezydium Sejmu może podjąć uchwałę o obniżeniu uposażenia lub diety parlamentarnej posła, w wysokości nieprzekraczającej 1/2 uposażenia poselskiego lub pełnej diety parlamentarnej miesięcznie na okres nie dłuższy niż 3 miesiące."
Art. 23,2,"Od uchwały o obniżeniu uposażenia lub diety parlamentarnej, o której mowa w ust. 1, posłowi przysługuje, w terminie 7 dni od dnia doręczenia uchwały, wniosek o ponowne rozpatrzenie sprawy przez Prezydium Sejmu. Prezydium Sejmu ponownie rozpatruje sprawę po zasięgnięciu opinii Konwentu Seniorów."
Art. 23,3,"Potrącenia dokonuje się nie wcześniej niż po upływie 7 dni od dnia podjęcia uchwały o obniżeniu uposażenia lub diety parlamentarnej, o której mowa w ust. 1, albo po ponownym rozpatrzeniu sprawy, o którym mowa w ust. 2. Informacje dotyczące potrąceń są jawne."
Art. 24,1,"Marszałek Sejmu zarządza obniżenie uposażenia i diety parlamentarnej albo jednego z tych świadczeń, jeżeli tylko ono przysługuje posłowi:"
Art. 24,1,"o 1/30 za każdy dzień nieusprawiedliwionej nieobecności na posiedzeniu Sejmu lub za niewzięcie w danym dniu udziału w więcej niż 1/5 głosowań,"
Art. 24,2,"o 1/30 za każdy dzień nieusprawiedliwionej nieobecności na posiedzeniu komisji, jeżeli liczba tych nieobecności przekroczyła 1/5 liczby posiedzeń komisji w miesiącu kalendarzowym."
Art. 24,2,"W razie zbiegu w danym dniu, z wyłączeniem przypadków określonych w art. 7 ust. 8 pkt 3, nieusprawiedliwionej nieobecności na:"
Art. 24,1,"posiedzeniu Sejmu i posiedzeniu komisji, stosuje się obniżenie, o którym mowa w ust. 1 pkt 1,"
Art. 24,2,"posiedzeniach komisji, stosuje się obniżenie, o którym mowa w ust. 1 pkt 2."
Art. 24,3,"W stosunku do posłów, którzy nie pobierają uposażenia i diety parlamentarnej, stosuje się odpowiednio przepisy art. 21."
Art. 24,4,"O zarządzeniu potrącenia Marszałek Sejmu powiadamia posła, podając liczbę i wykaz dni nieusprawiedliwionej nieobecności."
Art. 24,5,Wykazy nieusprawiedliwionej nieobecności posłów na posiedzeniu Sejmu lub komisji sporządza się w terminie 14 dni od zakończenia każdego miesiąca kalendarzowego.
Art. 24,6,"Od zarządzenia Marszałka Sejmu w zakresie ustalenia liczby dni nieusprawiedliwionej nieobecności posłowi przysługuje, w terminie 14 dni od doręczenia powiadomienia, wniosek o ponowne rozpatrzenie sprawy przez Marszałka Sejmu."
Art. 24,7,"Potrącenia dokonuje się nie wcześniej niż po upływie 14 dni od dnia, w którym Marszałek Sejmu zarządził potrącenie, lub po ponownym rozpatrzeniu sprawy, o którym mowa w ust. 6. Informacje dotyczące potrąceń są jawne."
Art. 25,1,"W przypadku wykluczenia posła z posiedzenia Sejmu, w trybie art. 175 ust. 5, Marszałek Sejmu zarządza obniżenie jego uposażenia poselskiego lub diety parlamentarnej na zasadach, o których mowa w art. 24 ust. 1 pkt 1 i ust. 3-7."
Art. 25,2,"W przypadku, o którym mowa w ust. 1, Prezydium Sejmu może podjąć uchwałę o obniżeniu posłowi uposażenia w wysokości nieprzekraczającej 1/2 uposażenia poselskiego lub o utracie prawa do pełnej diety parlamentarnej na okres do 6 miesięcy."
Art. 25,3,"Od uchwały, o której mowa w ust. 2, posłowi przysługuje, w terminie 7 dni od dnia doręczenia uchwały, wniosek o ponowne rozpatrzenie sprawy przez Prezydium Sejmu. Prezydium Sejmu ponownie rozpatruje sprawę po zasięgnięciu opinii Konwentu Seniorów."
Art. 25,4,"Potrącenia dokonuje się nie wcześniej niż po upływie 7 dni od dnia podjęcia uchwały, o której mowa w ust. 2, albo po ponownym rozpatrzeniu sprawy, o którym mowa w ust. 3. Informacje dotyczące potrąceń są jawne."
Art. 26,1,"17) Sejm wybiera zastępców przewodniczącego i członków Trybunału Stanu, sędziów Trybunału Konstytucyjnego, członków Rady Polityki Pieniężnej, członków Krajowej Rady Radiofonii i Telewizji, posłów członków Krajowej Rady Sądownictwa, członków Kolegium Instytutu Pamięci Narodowej  Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu oraz członków Rady Mediów Narodowych."
Art. 26,2,"18) Wybór członków Trybunału Stanu odbywa się łącznie, chyba że Sejm postanowi inaczej. W tym samym trybie odbywa się wybór członków Rady Polityki Pieniężnej oraz posłów członków Krajowej Rady Sądownictwa."
Art. 26,3,"W razie opróżnienia poszczególnych stanowisk w Trybunale Stanu Sejm dokonuje wyboru uzupełniającego, stosując odpowiednio przepisy o Trybunale Stanu. Wybór uzupełniający na poszczególne stanowiska odbywa się oddzielnie, chyba że Sejm postanowi inaczej."
Art. 26,4,19) Do wyboru uzupełniającego posłów członków Krajowej Rady Sądownictwa stosuje się odpowiednio ust. 3.
Art. 27,1,"Sejm, na wniosek Prezydenta, powołuje Prezesa Narodowego Banku Polskiego."
Art. 27,2,Sejm odwołuje Prezesa Narodowego Banku Polskiego w przypadkach określonych ustawą.
Art. 28,1,"21) Sejm, na wniosek Kolegium Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu, powołuje Prezesa Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu."
Art. 28,2,"21) Sejm, na wniosek Kolegium Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu, odwołuje Prezesa Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu oraz członka Kolegium Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu w przypadkach określonych w ustawie."
Art. 28,3,Uchwały Sejmu w sprawie powołania i odwołania Prezesa Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu Marszałek Sejmu przesyła niezwłocznie Marszałkowi Senatu w celu wyrażenia zgody przez Senat.
Art. 28a,1,"Sejm, na wniosek Prezesa Rady Ministrów, powołuje Prezesa Urzędu Komunikacji Elektronicznej."
Art. 28a,2,"Sejm, na wniosek Prezesa Rady Ministrów, odwołuje Prezesa Urzędu Komunikacji Elektronicznej w przypadkach określonych w ustawie."
Art. 28a,3,Uchwały Sejmu w sprawie powołania i odwołania Prezesa Urzędu Komunikacji Elektronicznej Marszałek Sejmu przesyła niezwłocznie Marszałkowi Senatu w celu wyrażenia zgody przez Senat.
Art. 29,1,"22) Sejm powołuje Prezesa Najwyższej Izby Kontroli, Rzecznika Praw Obywatelskich, Rzecznika Praw Dziecka i Prezesa Urzędu Ochrony Danych Osobowych."
Art. 29,2,"22) Sejm odwołuje Prezesa Najwyższej Izby Kontroli, Rzecznika Praw Obywatelskich, Rzecznika Praw Dziecka i Prezesa Urzędu Ochrony Danych Osobowych w wypadkach określonych ustawą."
